Year,Month,Day,USA
2001,11,3,"43,502"
2001,11,4,"15,292"
2001,11,5,"33,326"
2001,11,6,"31,034"
2001,11,7,"34,647"
2001,11,8,"36,716"
2001,11,9,"47,646"
2001,11,10,"38,786"
2001,11,11,"14,202"
2001,11,12,"24,766"
2001,11,13,"33,492"
2001,11,14,"33,041"
2001,11,15,"36,170"
2001,11,16,"45,920"
2001,11,17,"38,834"
2001,11,18,"15,224"
2001,11,19,"31,194"
2001,11,20,"33,245"
2001,11,21,"39,969"
2001,11,22,"3,015"
2001,11,23,"49,849"
2001,11,24,"35,001"
2001,11,25,"14,353"
2001,11,26,"29,693"
2001,11,27,"30,538"
2001,11,28,"29,721"
2001,11,29,"32,504"
2001,11,30,"43,242"
2001,12,1,"37,090"
2001,12,2,"13,017"
2001,12,3,"36,444"
2001,12,4,"33,085"
2001,12,5,"32,403"
2001,12,6,"35,354"
2001,12,7,"42,490"
